Training repr mode 'a' for 5 epochs on device cpu for task 'ner'
Sentences seen: 61000, Dev Acc: 0.7722
Sentences seen: 61500, Dev Acc: 0.7837
Sentences seen: 62000, Dev Acc: 0.7763
Sentences seen: 62500, Dev Acc: 0.7783
Sentences seen: 63000, Dev Acc: 0.7768
Sentences seen: 63500, Dev Acc: 0.7786
Sentences seen: 64000, Dev Acc: 0.7829
Sentences seen: 64500, Dev Acc: 0.7454
Sentences seen: 65000, Dev Acc: 0.7779
Sentences seen: 65500, Dev Acc: 0.7715
Sentences seen: 66000, Dev Acc: 0.7584
Sentences seen: 66500, Dev Acc: 0.7799
Sentences seen: 67000, Dev Acc: 0.7674
Sentences seen: 67500, Dev Acc: 0.7717
Sentences seen: 68000, Dev Acc: 0.7756
Sentences seen: 68500, Dev Acc: 0.7834
Sentences seen: 69000, Dev Acc: 0.7698
Sentences seen: 69500, Dev Acc: 0.7611
Sentences seen: 70000, Dev Acc: 0.7790
Sentences seen: 70500, Dev Acc: 0.7819
Sentences seen: 71000, Dev Acc: 0.7562
Sentences seen: 71500, Dev Acc: 0.7788
Sentences seen: 72000, Dev Acc: 0.7807
Sentences seen: 72500, Dev Acc: 0.7754
Sentences seen: 73000, Dev Acc: 0.7664
Sentences seen: 73500, Dev Acc: 0.7666
Sentences seen: 74000, Dev Acc: 0.7739
Sentences seen: 74500, Dev Acc: 0.7868
Epoch 5 TRAIN loss: 0.0428 | TRAIN accuracy: 0.9257
Last dev acc: 0.7868
Dev accuracies saved to dev_acc_ner_a.pkl
Model saved to bilstm_a_ner.pt
