Training repr mode 'b' for 5 epochs on device cpu for task 'ner'
Epoch 1/5
Sentences seen: 61000, Dev Acc: 0.3774
Sentences seen: 61500, Dev Acc: 0.3789
Sentences seen: 62000, Dev Acc: 0.3850
Sentences seen: 62500, Dev Acc: 0.3854
Sentences seen: 63000, Dev Acc: 0.3953
Sentences seen: 63500, Dev Acc: 0.3939
Sentences seen: 64000, Dev Acc: 0.3931
Sentences seen: 64500, Dev Acc: 0.3813
Sentences seen: 65000, Dev Acc: 0.3323
Sentences seen: 65500, Dev Acc: 0.3722
Sentences seen: 66000, Dev Acc: 0.3934
Sentences seen: 66500, Dev Acc: 0.3846
Sentences seen: 67000, Dev Acc: 0.4008
Sentences seen: 67500, Dev Acc: 0.3856
Sentences seen: 68000, Dev Acc: 0.3782
Sentences seen: 68500, Dev Acc: 0.3892
Sentences seen: 69000, Dev Acc: 0.3676
Sentences seen: 69500, Dev Acc: 0.3682
Sentences seen: 70000, Dev Acc: 0.3801
Sentences seen: 70500, Dev Acc: 0.3887
Sentences seen: 71000, Dev Acc: 0.3812
Sentences seen: 71500, Dev Acc: 0.3863
Sentences seen: 72000, Dev Acc: 0.4002
Sentences seen: 72500, Dev Acc: 0.4036
Sentences seen: 73000, Dev Acc: 0.3935
Sentences seen: 73500, Dev Acc: 0.3737
Sentences seen: 74000, Dev Acc: 0.3854
Sentences seen: 74500, Dev Acc: 0.4121
Epoch 5 TRAIN loss: 0.3463 | TRAIN accuracy: 0.3973
Last dev acc: 0.4121
Dev accuracies saved to dev_acc_ner_b.pkl
Model saved to bilstm_b_ner.pt
