Training repr mode 'c' for 5 epochs on device cpu for task 'ner'
Sentences seen: 61000, Dev Acc: 0.7412
Sentences seen: 61500, Dev Acc: 0.7366
Sentences seen: 62000, Dev Acc: 0.7411
Sentences seen: 62500, Dev Acc: 0.7403
Sentences seen: 63000, Dev Acc: 0.7301
Sentences seen: 63500, Dev Acc: 0.7397
Sentences seen: 64000, Dev Acc: 0.7402
Sentences seen: 64500, Dev Acc: 0.7392
Sentences seen: 65000, Dev Acc: 0.7423
Sentences seen: 65500, Dev Acc: 0.7419
Sentences seen: 66000, Dev Acc: 0.7478
Sentences seen: 66500, Dev Acc: 0.7364
Sentences seen: 67000, Dev Acc: 0.7493
Sentences seen: 67500, Dev Acc: 0.7411
Sentences seen: 68000, Dev Acc: 0.7478
Sentences seen: 68500, Dev Acc: 0.7408
Sentences seen: 69000, Dev Acc: 0.7418
Sentences seen: 69500, Dev Acc: 0.7368
Sentences seen: 70000, Dev Acc: 0.7443
Sentences seen: 70500, Dev Acc: 0.7462
Sentences seen: 71000, Dev Acc: 0.7346
Sentences seen: 71500, Dev Acc: 0.7470
Sentences seen: 72000, Dev Acc: 0.7454
Sentences seen: 72500, Dev Acc: 0.7468
Sentences seen: 73000, Dev Acc: 0.7509
Sentences seen: 73500, Dev Acc: 0.7391
Sentences seen: 74000, Dev Acc: 0.7472
Sentences seen: 74500, Dev Acc: 0.7499
Epoch 5 TRAIN loss: 0.0621 | TRAIN accuracy: 0.8914
Last dev acc: 0.7499
Dev accuracies saved to dev_acc_ner_c.pkl
Model saved to bilstm_c_ner.pt
