Training repr mode 'a' for 5 epochs on device cpu for task 'pos'
Epoch 1/5
Sentences seen: 44500, Dev Acc: 0.9465
Sentences seen: 45000, Dev Acc: 0.9463
Sentences seen: 45500, Dev Acc: 0.9471
Sentences seen: 46000, Dev Acc: 0.9462
Sentences seen: 46500, Dev Acc: 0.9453
Sentences seen: 47000, Dev Acc: 0.9442
Sentences seen: 47500, Dev Acc: 0.9471
Sentences seen: 48000, Dev Acc: 0.9475
Sentences seen: 48500, Dev Acc: 0.9466
Sentences seen: 49000, Dev Acc: 0.9484
Sentences seen: 49500, Dev Acc: 0.9480
Sentences seen: 50000, Dev Acc: 0.9476
Sentences seen: 50500, Dev Acc: 0.9457
Sentences seen: 51000, Dev Acc: 0.9465
Sentences seen: 51500, Dev Acc: 0.9476
Sentences seen: 52000, Dev Acc: 0.9482
Sentences seen: 52500, Dev Acc: 0.9489
Sentences seen: 53000, Dev Acc: 0.9489
Sentences seen: 53500, Dev Acc: 0.9505
Sentences seen: 54000, Dev Acc: 0.9488
Sentences seen: 54500, Dev Acc: 0.9501
Sentences seen: 55000, Dev Acc: 0.9490
Sentences seen: 55500, Dev Acc: 0.9497
Sentences seen: 56000, Dev Acc: 0.9500
Sentences seen: 56500, Dev Acc: 0.9503
Sentences seen: 57000, Dev Acc: 0.9509
Sentences seen: 57500, Dev Acc: 0.9496
Sentences seen: 58000, Dev Acc: 0.9494
Sentences seen: 58500, Dev Acc: 0.9504
Sentences seen: 59000, Dev Acc: 0.9497
Sentences seen: 59500, Dev Acc: 0.9502
Sentences seen: 60000, Dev Acc: 0.9511
Sentences seen: 60500, Dev Acc: 0.9507
Sentences seen: 61000, Dev Acc: 0.9517
Sentences seen: 61500, Dev Acc: 0.9519
Sentences seen: 62000, Dev Acc: 0.9495
Sentences seen: 62500, Dev Acc: 0.9515
Sentences seen: 63000, Dev Acc: 0.9516
Sentences seen: 63500, Dev Acc: 0.9505
Sentences seen: 64000, Dev Acc: 0.9511
Sentences seen: 64500, Dev Acc: 0.9518
Sentences seen: 65000, Dev Acc: 0.9492
Sentences seen: 65500, Dev Acc: 0.9511
Sentences seen: 66000, Dev Acc: 0.9525
Sentences seen: 66500, Dev Acc: 0.9520
Sentences seen: 67000, Dev Acc: 0.9501
Sentences seen: 67500, Dev Acc: 0.9512
Sentences seen: 68000, Dev Acc: 0.9521
Sentences seen: 68500, Dev Acc: 0.9512
Sentences seen: 69000, Dev Acc: 0.9521
Sentences seen: 69500, Dev Acc: 0.9521
Sentences seen: 70000, Dev Acc: 0.9537
Sentences seen: 70500, Dev Acc: 0.9536
Sentences seen: 71000, Dev Acc: 0.9525
Sentences seen: 71500, Dev Acc: 0.9527
Sentences seen: 72000, Dev Acc: 0.9531
Sentences seen: 72500, Dev Acc: 0.9552
Sentences seen: 73000, Dev Acc: 0.9533
