Training repr mode 'd' for 5 epochs on device cpu for task 'ner'
Sentences seen: 61000, Dev Acc: 0.7714
Sentences seen: 61500, Dev Acc: 0.7584
Sentences seen: 62000, Dev Acc: 0.7649
Sentences seen: 62500, Dev Acc: 0.7664
Sentences seen: 63000, Dev Acc: 0.7677
Sentences seen: 63500, Dev Acc: 0.7667
Sentences seen: 64000, Dev Acc: 0.7789
Sentences seen: 64500, Dev Acc: 0.7544
Sentences seen: 65000, Dev Acc: 0.7657
Sentences seen: 65500, Dev Acc: 0.7710
Sentences seen: 66000, Dev Acc: 0.7686
Sentences seen: 66500, Dev Acc: 0.7555
Sentences seen: 67000, Dev Acc: 0.7654
Sentences seen: 67500, Dev Acc: 0.7608
Sentences seen: 68000, Dev Acc: 0.7579
Sentences seen: 68500, Dev Acc: 0.7333
Sentences seen: 69000, Dev Acc: 0.7710
Sentences seen: 69500, Dev Acc: 0.7579
Sentences seen: 70000, Dev Acc: 0.7728
Sentences seen: 70500, Dev Acc: 0.7544
Sentences seen: 71000, Dev Acc: 0.7689
Sentences seen: 71500, Dev Acc: 0.7705
Sentences seen: 72000, Dev Acc: 0.7681
Sentences seen: 72500, Dev Acc: 0.7688
Sentences seen: 73000, Dev Acc: 0.7657
Sentences seen: 73500, Dev Acc: 0.7704
Sentences seen: 74000, Dev Acc: 0.7574
Sentences seen: 74500, Dev Acc: 0.7684
Epoch 5 TRAIN loss: 0.0533 | TRAIN accuracy: 0.9093
Last dev acc: 0.7684
Dev accuracies saved to dev_acc_ner_d.pkl
Model saved to bilstm_d_ner.pt
