Training repr mode 'c' for 5 epochs on device cpu for task 'pos'
Epoch 1/5
Sentences seen: 65000, Dev Acc: 0.9443
Sentences seen: 65500, Dev Acc: 0.9435
Sentences seen: 66000, Dev Acc: 0.9450
Sentences seen: 66500, Dev Acc: 0.9453
Sentences seen: 67000, Dev Acc: 0.9446
Sentences seen: 67500, Dev Acc: 0.9446
Sentences seen: 68000, Dev Acc: 0.9445
Sentences seen: 68500, Dev Acc: 0.9465
Sentences seen: 69000, Dev Acc: 0.9462
Sentences seen: 69500, Dev Acc: 0.9460
Sentences seen: 70000, Dev Acc: 0.9471
Sentences seen: 70500, Dev Acc: 0.9469
Sentences seen: 71000, Dev Acc: 0.9461
Sentences seen: 71500, Dev Acc: 0.9473
Sentences seen: 72000, Dev Acc: 0.9461
Sentences seen: 72500, Dev Acc: 0.9466
Sentences seen: 73000, Dev Acc: 0.9468
Sentences seen: 73500, Dev Acc: 0.9457
Sentences seen: 74000, Dev Acc: 0.9468
Sentences seen: 74500, Dev Acc: 0.9466
Sentences seen: 75000, Dev Acc: 0.9477
Sentences seen: 75500, Dev Acc: 0.9474
Epoch 2 TRAIN loss: 0.1736 | TRAIN accuracy: 0.9448
Last dev acc: 0.9474
Epoch 3/5
Sentences seen: 76000, Dev Acc: 0.9456
Sentences seen: 76500, Dev Acc: 0.9467
Sentences seen: 77000, Dev Acc: 0.9472
Sentences seen: 77500, Dev Acc: 0.9475
Sentences seen: 78000, Dev Acc: 0.9479
Sentences seen: 78500, Dev Acc: 0.9474
Sentences seen: 79000, Dev Acc: 0.9487
Sentences seen: 79500, Dev Acc: 0.9474
Sentences seen: 80000, Dev Acc: 0.9491
Sentences seen: 80500, Dev Acc: 0.9489
Sentences seen: 81000, Dev Acc: 0.9474
Sentences seen: 81500, Dev Acc: 0.9477
Sentences seen: 82000, Dev Acc: 0.9480
Sentences seen: 82500, Dev Acc: 0.9488
Sentences seen: 83000, Dev Acc: 0.9486
Sentences seen: 83500, Dev Acc: 0.9489
Sentences seen: 84000, Dev Acc: 0.9479
Sentences seen: 84500, Dev Acc: 0.9489
Sentences seen: 85000, Dev Acc: 0.9496
Sentences seen: 85500, Dev Acc: 0.9499
Sentences seen: 86000, Dev Acc: 0.9506
Sentences seen: 86500, Dev Acc: 0.9502
Sentences seen: 87000, Dev Acc: 0.9493
Sentences seen: 87500, Dev Acc: 0.9497
Sentences seen: 88000, Dev Acc: 0.9490
Sentences seen: 88500, Dev Acc: 0.9491
Sentences seen: 89000, Dev Acc: 0.9507
Sentences seen: 89500, Dev Acc: 0.9506
Sentences seen: 90000, Dev Acc: 0.9496
Sentences seen: 90500, Dev Acc: 0.9488
Sentences seen: 91000, Dev Acc: 0.9497
Sentences seen: 91500, Dev Acc: 0.9507
Sentences seen: 92000, Dev Acc: 0.9504
Sentences seen: 92500, Dev Acc: 0.9504
Sentences seen: 93000, Dev Acc: 0.9490
