Training repr mode 'd' for 5 epochs on device cpu for task 'pos'
Epoch 1/5
Sentences seen: 42000, Dev Acc: 0.9449
Sentences seen: 42500, Dev Acc: 0.9453
Sentences seen: 43000, Dev Acc: 0.9457
Sentences seen: 43500, Dev Acc: 0.9456
Sentences seen: 44000, Dev Acc: 0.9452
Sentences seen: 44500, Dev Acc: 0.9458
Sentences seen: 45000, Dev Acc: 0.9457
Sentences seen: 45500, Dev Acc: 0.9465
Sentences seen: 46000, Dev Acc: 0.9465
Sentences seen: 46500, Dev Acc: 0.9471
Sentences seen: 47000, Dev Acc: 0.9475
Sentences seen: 47500, Dev Acc: 0.9462
Sentences seen: 48000, Dev Acc: 0.9473
Sentences seen: 48500, Dev Acc: 0.9467
Sentences seen: 49000, Dev Acc: 0.9469
Sentences seen: 49500, Dev Acc: 0.9476
Sentences seen: 50000, Dev Acc: 0.9471
Sentences seen: 50500, Dev Acc: 0.9484
Sentences seen: 51000, Dev Acc: 0.9481
Sentences seen: 51500, Dev Acc: 0.9487
Sentences seen: 52000, Dev Acc: 0.9480
Sentences seen: 52500, Dev Acc: 0.9491
Sentences seen: 53000, Dev Acc: 0.9495
Sentences seen: 53500, Dev Acc: 0.9495
Sentences seen: 54000, Dev Acc: 0.9493
Sentences seen: 54500, Dev Acc: 0.9493
Sentences seen: 55000, Dev Acc: 0.9493
Sentences seen: 55500, Dev Acc: 0.9496
Sentences seen: 56000, Dev Acc: 0.9482
Sentences seen: 56500, Dev Acc: 0.9491
Sentences seen: 57000, Dev Acc: 0.9497
Sentences seen: 57500, Dev Acc: 0.9504
Sentences seen: 58000, Dev Acc: 0.9505
Sentences seen: 58500, Dev Acc: 0.9504
Sentences seen: 59000, Dev Acc: 0.9504
Sentences seen: 59500, Dev Acc: 0.9512
Sentences seen: 60000, Dev Acc: 0.9503
Sentences seen: 60500, Dev Acc: 0.9494
Sentences seen: 61000, Dev Acc: 0.9499
Sentences seen: 61500, Dev Acc: 0.9511
Sentences seen: 62000, Dev Acc: 0.9506
Sentences seen: 62500, Dev Acc: 0.9504
Sentences seen: 63000, Dev Acc: 0.9505
Sentences seen: 63500, Dev Acc: 0.9518
Sentences seen: 64000, Dev Acc: 0.9517
Sentences seen: 64500, Dev Acc: 0.9495
Sentences seen: 65000, Dev Acc: 0.9515
Sentences seen: 65500, Dev Acc: 0.9494
Sentences seen: 66000, Dev Acc: 0.9508
Sentences seen: 66500, Dev Acc: 0.9502
Sentences seen: 67000, Dev Acc: 0.9507
Sentences seen: 67500, Dev Acc: 0.9518
Sentences seen: 68000, Dev Acc: 0.9521
Sentences seen: 68500, Dev Acc: 0.9534
Sentences seen: 69000, Dev Acc: 0.9523
Sentences seen: 69500, Dev Acc: 0.9526
Sentences seen: 70000, Dev Acc: 0.9512
Sentences seen: 70500, Dev Acc: 0.9524
Sentences seen: 71000, Dev Acc: 0.9521
Sentences seen: 71500, Dev Acc: 0.9524
Sentences seen: 72000, Dev Acc: 0.9517
Sentences seen: 72500, Dev Acc: 0.9539
Sentences seen: 73000, Dev Acc: 0.9530
Sentences seen: 73500, Dev Acc: 0.9541
Sentences seen: 74000, Dev Acc: 0.9531
Sentences seen: 74500, Dev Acc: 0.9524
Sentences seen: 75000, Dev Acc: 0.9524
Sentences seen: 75500, Dev Acc: 0.9531
Epoch 2 TRAIN loss: 0.1370 | TRAIN accuracy: 0.9589
Last dev acc: 0.9531
Epoch 3/5
Sentences seen: 76000, Dev Acc: 0.9534
Sentences seen: 76500, Dev Acc: 0.9542
Sentences seen: 77000, Dev Acc: 0.9544
Sentences seen: 77500, Dev Acc: 0.9541
Sentences seen: 78000, Dev Acc: 0.9545
Sentences seen: 78500, Dev Acc: 0.9525
Sentences seen: 79000, Dev Acc: 0.9527
Sentences seen: 79500, Dev Acc: 0.9526
Sentences seen: 80000, Dev Acc: 0.9531
Sentences seen: 80500, Dev Acc: 0.9532
