Training repr mode 'b' for 5 epochs on device cpu for task 'pos'
Epoch 1/5
Sentences seen: 65000, Dev Acc: 0.2846
Sentences seen: 65500, Dev Acc: 0.2845
Sentences seen: 66000, Dev Acc: 0.2807
Sentences seen: 66500, Dev Acc: 0.2850
Sentences seen: 67000, Dev Acc: 0.2833
Sentences seen: 67500, Dev Acc: 0.2856
Sentences seen: 68000, Dev Acc: 0.2838
Sentences seen: 68500, Dev Acc: 0.2818
Sentences seen: 69000, Dev Acc: 0.2863
Sentences seen: 69500, Dev Acc: 0.2849
Sentences seen: 70000, Dev Acc: 0.3032
Sentences seen: 70500, Dev Acc: 0.3141
Sentences seen: 71000, Dev Acc: 0.2941
Sentences seen: 71500, Dev Acc: 0.3047
Sentences seen: 72000, Dev Acc: 0.2903
Sentences seen: 72500, Dev Acc: 0.3483
Sentences seen: 73000, Dev Acc: 0.3594
Sentences seen: 73500, Dev Acc: 0.3214
Sentences seen: 74000, Dev Acc: 0.3472
Sentences seen: 74500, Dev Acc: 0.3741
Sentences seen: 75000, Dev Acc: 0.3940
Sentences seen: 75500, Dev Acc: 0.4077
Epoch 2 TRAIN loss: 2.3107 | TRAIN accuracy: 0.2895
Last dev acc: 0.4077
Epoch 3/5
Sentences seen: 76000, Dev Acc: 0.4126
Sentences seen: 76500, Dev Acc: 0.4195
Sentences seen: 77000, Dev Acc: 0.4231
Sentences seen: 77500, Dev Acc: 0.4260
Sentences seen: 78000, Dev Acc: 0.4311
Sentences seen: 78500, Dev Acc: 0.4395
Sentences seen: 79000, Dev Acc: 0.4429
Sentences seen: 79500, Dev Acc: 0.4405
Sentences seen: 80000, Dev Acc: 0.4471
Sentences seen: 80500, Dev Acc: 0.4610
Sentences seen: 81000, Dev Acc: 0.4668
Sentences seen: 81500, Dev Acc: 0.4606
Sentences seen: 82000, Dev Acc: 0.4799
Sentences seen: 82500, Dev Acc: 0.4765
Sentences seen: 83000, Dev Acc: 0.4903
Sentences seen: 83500, Dev Acc: 0.4941
Sentences seen: 84000, Dev Acc: 0.5058
Sentences seen: 84500, Dev Acc: 0.5055
Sentences seen: 85000, Dev Acc: 0.4977
Sentences seen: 85500, Dev Acc: 0.5033
Sentences seen: 86000, Dev Acc: 0.5138
Sentences seen: 86500, Dev Acc: 0.5174
Sentences seen: 87000, Dev Acc: 0.5243
Sentences seen: 87500, Dev Acc: 0.5342
Sentences seen: 88000, Dev Acc: 0.5182
Sentences seen: 88500, Dev Acc: 0.5420
Sentences seen: 89000, Dev Acc: 0.4985
Sentences seen: 89500, Dev Acc: 0.5081
Sentences seen: 90000, Dev Acc: 0.5323
Sentences seen: 90500, Dev Acc: 0.5447
Sentences seen: 91000, Dev Acc: 0.5396
Sentences seen: 91500, Dev Acc: 0.5497
Sentences seen: 92000, Dev Acc: 0.5473
Sentences seen: 92500, Dev Acc: 0.5583
Sentences seen: 93000, Dev Acc: 0.5582
Sentences seen: 93500, Dev Acc: 0.5668
Sentences seen: 94000, Dev Acc: 0.5622
Sentences seen: 94500, Dev Acc: 0.5710
Sentences seen: 95000, Dev Acc: 0.5763
Sentences seen: 95500, Dev Acc: 0.5748
Sentences seen: 96000, Dev Acc: 0.5772
Sentences seen: 96500, Dev Acc: 0.5727
Sentences seen: 97000, Dev Acc: 0.5727
Sentences seen: 97500, Dev Acc: 0.5796
Sentences seen: 98000, Dev Acc: 0.5790
Sentences seen: 98500, Dev Acc: 0.5783
Sentences seen: 99000, Dev Acc: 0.5219
Sentences seen: 99500, Dev Acc: 0.4997
Sentences seen: 100000, Dev Acc: 0.5224
Sentences seen: 100500, Dev Acc: 0.5409
Sentences seen: 101000, Dev Acc: 0.5512
Sentences seen: 101500, Dev Acc: 0.5661
Sentences seen: 102000, Dev Acc: 0.5664
Sentences seen: 102500, Dev Acc: 0.5761
Sentences seen: 103000, Dev Acc: 0.5792
Sentences seen: 103500, Dev Acc: 0.5759
Sentences seen: 104000, Dev Acc: 0.5824
Sentences seen: 104500, Dev Acc: 0.5809
Sentences seen: 105000, Dev Acc: 0.5886
Sentences seen: 105500, Dev Acc: 0.5875
Sentences seen: 106000, Dev Acc: 0.5918
Sentences seen: 106500, Dev Acc: 0.5954
Sentences seen: 107000, Dev Acc: 0.5956
Sentences seen: 107500, Dev Acc: 0.5983
Sentences seen: 108000, Dev Acc: 0.6023
Sentences seen: 108500, Dev Acc: 0.5989
Sentences seen: 109000, Dev Acc: 0.6043
Sentences seen: 109500, Dev Acc: 0.6051
Sentences seen: 110000, Dev Acc: 0.6069
Sentences seen: 110500, Dev Acc: 0.6025
Sentences seen: 111000, Dev Acc: 0.6091
Sentences seen: 111500, Dev Acc: 0.6096
Sentences seen: 112000, Dev Acc: 0.6133
Sentences seen: 112500, Dev Acc: 0.6148
Sentences seen: 113000, Dev Acc: 0.6163
Epoch 3 TRAIN loss: 1.4549 | TRAIN accuracy: 0.5416
Last dev acc: 0.6163
Epoch 4/5
Sentences seen: 113500, Dev Acc: 0.6169
Sentences seen: 114000, Dev Acc: 0.6199
Sentences seen: 114500, Dev Acc: 0.6162
Sentences seen: 115000, Dev Acc: 0.6199
Sentences seen: 115500, Dev Acc: 0.6081
Sentences seen: 116000, Dev Acc: 0.5976
Sentences seen: 116500, Dev Acc: 0.6006
Sentences seen: 117000, Dev Acc: 0.6087
Sentences seen: 117500, Dev Acc: 0.6198
Sentences seen: 118000, Dev Acc: 0.6211
Sentences seen: 118500, Dev Acc: 0.6256
Sentences seen: 119000, Dev Acc: 0.6276
Sentences seen: 119500, Dev Acc: 0.6303
Sentences seen: 120000, Dev Acc: 0.6303
Sentences seen: 120500, Dev Acc: 0.6250
Sentences seen: 121000, Dev Acc: 0.6307
Sentences seen: 121500, Dev Acc: 0.6344
Sentences seen: 122000, Dev Acc: 0.6339
Sentences seen: 122500, Dev Acc: 0.6380
Sentences seen: 123000, Dev Acc: 0.6333
Sentences seen: 123500, Dev Acc: 0.6377
Sentences seen: 124000, Dev Acc: 0.6305
Sentences seen: 124500, Dev Acc: 0.6399
Sentences seen: 125000, Dev Acc: 0.6423
Sentences seen: 125500, Dev Acc: 0.6452
Sentences seen: 126000, Dev Acc: 0.6431
Sentences seen: 126500, Dev Acc: 0.6430
Sentences seen: 127000, Dev Acc: 0.6451
Sentences seen: 127500, Dev Acc: 0.6471
Sentences seen: 128000, Dev Acc: 0.6462
Sentences seen: 128500, Dev Acc: 0.6484
Sentences seen: 129000, Dev Acc: 0.6507
Sentences seen: 129500, Dev Acc: 0.6501
Sentences seen: 130000, Dev Acc: 0.6511
Sentences seen: 130500, Dev Acc: 0.6528
Sentences seen: 131000, Dev Acc: 0.6547
Sentences seen: 131500, Dev Acc: 0.6553
Sentences seen: 132000, Dev Acc: 0.6210
Sentences seen: 132500, Dev Acc: 0.6395
Sentences seen: 133000, Dev Acc: 0.6465
Sentences seen: 133500, Dev Acc: 0.6536
Sentences seen: 134000, Dev Acc: 0.6558
Sentences seen: 134500, Dev Acc: 0.6579
Sentences seen: 135000, Dev Acc: 0.6590
Sentences seen: 135500, Dev Acc: 0.6593
Sentences seen: 136000, Dev Acc: 0.6588
Sentences seen: 136500, Dev Acc: 0.6608
Sentences seen: 137000, Dev Acc: 0.6604
Sentences seen: 137500, Dev Acc: 0.6645
Sentences seen: 138000, Dev Acc: 0.6642
Sentences seen: 138500, Dev Acc: 0.6641
Sentences seen: 139000, Dev Acc: 0.6646
Sentences seen: 139500, Dev Acc: 0.6655
Sentences seen: 140000, Dev Acc: 0.6655
Sentences seen: 140500, Dev Acc: 0.6680
Sentences seen: 141000, Dev Acc: 0.6623
Sentences seen: 141500, Dev Acc: 0.6691
Sentences seen: 142000, Dev Acc: 0.6681
Sentences seen: 142500, Dev Acc: 0.6698
Sentences seen: 143000, Dev Acc: 0.6715
Sentences seen: 143500, Dev Acc: 0.6697
Sentences seen: 144000, Dev Acc: 0.6757
Sentences seen: 144500, Dev Acc: 0.5580
Sentences seen: 145000, Dev Acc: 0.5793
Sentences seen: 145500, Dev Acc: 0.5847
Sentences seen: 146000, Dev Acc: 0.5946
Sentences seen: 146500, Dev Acc: 0.5985
Sentences seen: 147000, Dev Acc: 0.6021
Sentences seen: 147500, Dev Acc: 0.6040
Sentences seen: 148000, Dev Acc: 0.6089
Sentences seen: 148500, Dev Acc: 0.6119
Sentences seen: 149000, Dev Acc: 0.6141
Sentences seen: 149500, Dev Acc: 0.6138
Sentences seen: 150000, Dev Acc: 0.6151
Sentences seen: 150500, Dev Acc: 0.6160
Sentences seen: 151000, Dev Acc: 0.6189
Epoch 4 TRAIN loss: 1.1316 | TRAIN accuracy: 0.6378
Last dev acc: 0.6189
Epoch 5/5
Sentences seen: 151500, Dev Acc: 0.6189
Sentences seen: 152000, Dev Acc: 0.6162
Sentences seen: 152500, Dev Acc: 0.6178
Sentences seen: 153000, Dev Acc: 0.6151
Sentences seen: 153500, Dev Acc: 0.6150
Sentences seen: 154000, Dev Acc: 0.6187
Sentences seen: 154500, Dev Acc: 0.6513
Sentences seen: 155000, Dev Acc: 0.6836
Sentences seen: 155500, Dev Acc: 0.6873
Sentences seen: 156000, Dev Acc: 0.6921
Sentences seen: 156500, Dev Acc: 0.6855
Sentences seen: 157000, Dev Acc: 0.6577
Sentences seen: 157500, Dev Acc: 0.6641
Sentences seen: 158000, Dev Acc: 0.6696
Sentences seen: 158500, Dev Acc: 0.6714
Sentences seen: 159000, Dev Acc: 0.6703
Sentences seen: 159500, Dev Acc: 0.6740
Sentences seen: 160000, Dev Acc: 0.6685
Sentences seen: 160500, Dev Acc: 0.6746
Sentences seen: 161000, Dev Acc: 0.6741
Sentences seen: 161500, Dev Acc: 0.6754
Sentences seen: 162000, Dev Acc: 0.6784
Sentences seen: 162500, Dev Acc: 0.6785
Sentences seen: 163000, Dev Acc: 0.6765
Sentences seen: 163500, Dev Acc: 0.6830
Sentences seen: 164000, Dev Acc: 0.6825
Sentences seen: 164500, Dev Acc: 0.6799
Sentences seen: 165000, Dev Acc: 0.6824
Sentences seen: 165500, Dev Acc: 0.6834
Sentences seen: 166000, Dev Acc: 0.6869
Sentences seen: 166500, Dev Acc: 0.6827
Sentences seen: 167000, Dev Acc: 0.6806
Sentences seen: 167500, Dev Acc: 0.6808
Sentences seen: 168000, Dev Acc: 0.6871
Sentences seen: 168500, Dev Acc: 0.6877
Sentences seen: 169000, Dev Acc: 0.6890
Sentences seen: 169500, Dev Acc: 0.6883
Sentences seen: 170000, Dev Acc: 0.6890
Sentences seen: 170500, Dev Acc: 0.6908
Sentences seen: 171000, Dev Acc: 0.6913
Sentences seen: 171500, Dev Acc: 0.6896
Sentences seen: 172000, Dev Acc: 0.6734
Sentences seen: 172500, Dev Acc: 0.6901
Sentences seen: 173000, Dev Acc: 0.6842
Sentences seen: 173500, Dev Acc: 0.6863
Sentences seen: 174000, Dev Acc: 0.6826
Sentences seen: 174500, Dev Acc: 0.6900
Sentences seen: 175000, Dev Acc: 0.6914
Sentences seen: 175500, Dev Acc: 0.6855
Sentences seen: 176000, Dev Acc: 0.6930
Sentences seen: 176500, Dev Acc: 0.6928
Sentences seen: 177000, Dev Acc: 0.6959
Sentences seen: 177500, Dev Acc: 0.6945
Sentences seen: 178000, Dev Acc: 0.6906
Sentences seen: 178500, Dev Acc: 0.6976
Sentences seen: 179000, Dev Acc: 0.6944
Sentences seen: 179500, Dev Acc: 0.6960
Sentences seen: 180000, Dev Acc: 0.7018
Sentences seen: 180500, Dev Acc: 0.6991
Sentences seen: 181000, Dev Acc: 0.7030
Sentences seen: 181500, Dev Acc: 0.7045
Sentences seen: 182000, Dev Acc: 0.7039
Sentences seen: 182500, Dev Acc: 0.6924
Sentences seen: 183000, Dev Acc: 0.6962
Sentences seen: 183500, Dev Acc: 0.7064
Sentences seen: 184000, Dev Acc: 0.7060
Sentences seen: 184500, Dev Acc: 0.7044
Sentences seen: 185000, Dev Acc: 0.7052
Sentences seen: 185500, Dev Acc: 0.7049
Sentences seen: 186000, Dev Acc: 0.7034
Sentences seen: 186500, Dev Acc: 0.7072
Sentences seen: 187000, Dev Acc: 0.7035
Sentences seen: 187500, Dev Acc: 0.7040
Sentences seen: 188000, Dev Acc: 0.6983
Sentences seen: 188500, Dev Acc: 0.5954
Sentences seen: 189000, Dev Acc: 0.6680
Epoch 5 TRAIN loss: 0.9724 | TRAIN accuracy: 0.6826
Last dev acc: 0.6680
Dev accuracies saved to dev_acc_pos_b.pkl
Model saved to bilstm_b_pos.pt
